,Fold selected features,Fold nb of features
Fold 10,"['CCR2pcMC_S6', 'CD4Tnaive_Frequency', 'CD4Trm_S6', 'CD62LnAgedNeutrophils_S6', 'intMC_S6', 'mDC_S6', 'MDSC_S6']",7
Fold 11,"['Bcells_NFkB', 'Bcells_Frequency', 'CCR2nncMC_CREB', 'CCR2nncMC_S6', 'CCR2nncMC_NFkB', 'CCR2nncMC_MAPKAPK2', 'CCR2nncMC_Frequency', 'CCR2pcMC_STAT3', 'CCR2pcMC_S6', 'CCR2pcMC_NFkB', 'CCR2pcMC_Frequency', 'CD41hiCD61hiPLT_p38', 'CD4Tcm_IkB', 'CD4Tcm_Frequency', 'CD4Tem_STAT3', 'CD4Tem_STAT6', 'CD4Tem_Frequency', 'CD4Tnaive_Frequency', 'CD4Trm_STAT5', 'CD4Trm_S6', 'CD4Trm_IkB', 'CD4Trm_NFkB', 'CD4Trm_STAT6', 'CD4Trm_Frequency', 'CD56brightCD16nNKcells_NFkB', 'CD56brightCD16nNKcells_Frequency', 'CD56dimCD16pNKcells_CREB', 'CD56dimCD16pNKcells_NFkB', 'CD56dimCD16pNKcells_Frequency', 'CD61pCD41pPLT_CREB', 'CD61pCD41pPLT_STAT3', 'CD61pCD41pPLT_S6', 'CD61pCD41pPLT_NFkB', 'CD62LnAgedNeutrophils_p38', 'CD62LnAgedNeutrophils_STAT3', 'CD62LnAgedNeutrophils_S6', 'CD62LnAgedNeutrophils_IkB', 'CD62LnAgedNeutrophils_MAPKAPK2', 'CD62LnAgedNeutrophils_Frequency', 'CD62LpImmatureNeutrophils_CREB', 'CD62LpImmatureNeutrophils_STAT3', 'CD62LpImmatureNeutrophils_S6', 'CD62LpImmatureNeutrophils_IkB', 'CD62LpImmatureNeutrophils_Frequency', 'CD8Tcm_STAT5', 'CD8Tcm_STAT3', 'CD8Tcm_Frequency', 'CD8Tnaive_STAT5', 'CD8Tnaive_STAT3', 'CD8Tnaive_IkB', 'CD8Tnaive_NFkB', 'CD8Tnaive_Frequency', 'gdTcells_IkB', 'gdTcells_Frequency', 'intMC_S6', 'intMC_Frequency', 'mDC_CREB', 'mDC_STAT3', 'mDC_S6', 'mDC_IkB', 'mDC_Frequency', 'MDSC_STAT3', 'MDSC_S6', 'MDSC_IkB', 'MDSC_Frequency', 'NKT_IkB', 'pDC_CREB', 'pDC_STAT5', 'pDC_S6', 'pDC_IkB', 'pDC_MAPKAPK2', 'Th1mem_CREB', 'Th1mem_STAT5', 'Th1mem_ERK', 'Th1mem_STAT6', 'Th1naive_STAT5', 'Th1naive_STAT3', 'Th1naive_S6', 'Th1naive_IkB', 'Th1naive_NFkB', 'Th1naive_ERK', 'Th1naive_STAT6', 'Th1naive_MAPKAPK2', 'Tregmem_STAT5', 'Tregmem_NFkB', 'Tregnaive_STAT5', 'Tregnaive_S6', 'Tregnaive_IkB', 'Tregnaive_STAT6']",89
Fold 12,"['CCR2pcMC_S6', 'CD4Tnaive_Frequency', 'CD4Trm_S6', 'CD62LnAgedNeutrophils_S6', 'CD62LpImmatureNeutrophils_S6', 'intMC_S6', 'mDC_S6', 'MDSC_S6']",8
Fold 13,"['Bcells_NFkB', 'Bcells_Frequency', 'CCR2nncMC_CREB', 'CCR2nncMC_S6', 'CCR2nncMC_IkB', 'CCR2nncMC_NFkB', 'CCR2nncMC_MAPKAPK2', 'CCR2nncMC_Frequency', 'CCR2pcMC_S6', 'CCR2pcMC_NFkB', 'CCR2pcMC_Frequency', 'CD4Tcm_STAT5', 'CD4Tcm_IkB', 'CD4Tcm_Frequency', 'CD4Tem_STAT3', 'CD4Tem_IkB', 'CD4Tem_NFkB', 'CD4Tem_STAT6', 'CD4Tem_Frequency', 'CD4Tnaive_NFkB', 'CD4Tnaive_Frequency', 'CD4Trm_STAT5', 'CD4Trm_S6', 'CD4Trm_IkB', 'CD4Trm_NFkB', 'CD4Trm_STAT6', 'CD4Trm_Frequency', 'CD56brightCD16nNKcells_IkB', 'CD56brightCD16nNKcells_Frequency', 'CD56dimCD16pNKcells_CREB', 'CD56dimCD16pNKcells_Frequency', 'CD61pCD41pPLT_CREB', 'CD61pCD41pPLT_STAT3', 'CD61pCD41pPLT_S6', 'CD62LnAgedNeutrophils_p38', 'CD62LnAgedNeutrophils_S6', 'CD62LnAgedNeutrophils_IkB', 'CD62LnAgedNeutrophils_MAPKAPK2', 'CD62LnAgedNeutrophils_Frequency', 'CD62LpImmatureNeutrophils_CREB', 'CD62LpImmatureNeutrophils_S6', 'CD62LpImmatureNeutrophils_IkB', 'CD62LpImmatureNeutrophils_Frequency', 'CD8Tcm_STAT5', 'CD8Tcm_STAT3', 'CD8Tcm_Frequency', 'CD8Tnaive_STAT3', 'gdTcells_CREB', 'gdTcells_IkB', 'gdTcells_NFkB', 'gdTcells_STAT6', 'gdTcells_Frequency', 'intMC_S6', 'intMC_IkB', 'intMC_Frequency', 'mDC_S6', 'mDC_IkB', 'mDC_Frequency', 'MDSC_S6', 'MDSC_IkB', 'MDSC_Frequency', 'NKT_STAT5', 'NKT_IkB', 'NKT_STAT6', 'NKT_Frequency', 'pDC_CREB', 'pDC_STAT5', 'pDC_S6', 'pDC_IkB', 'pDC_MAPKAPK2', 'Th1mem_CREB', 'Th1mem_STAT5', 'Th1mem_IkB', 'Th1mem_ERK', 'Th1mem_STAT6', 'Th1naive_CREB', 'Th1naive_STAT5', 'Th1naive_STAT3', 'Th1naive_NFkB', 'Th1naive_ERK', 'Th1naive_STAT6', 'Th1naive_MAPKAPK2', 'Tregmem_STAT5', 'Tregmem_STAT3', 'Tregmem_Frequency', 'Tregnaive_STAT5', 'Tregnaive_STAT3', 'Tregnaive_ERK', 'Tregnaive_STAT6']",89
Fold 14,"['Bcells_NFkB', 'Bcells_Frequency', 'CCR2nncMC_CREB', 'CCR2nncMC_S6', 'CCR2nncMC_NFkB', 'CCR2nncMC_MAPKAPK2', 'CCR2nncMC_Frequency', 'CCR2pcMC_STAT3', 'CCR2pcMC_S6', 'CCR2pcMC_NFkB', 'CCR2pcMC_Frequency', 'CD41hiCD61hiPLT_p38', 'CD4Tcm_IkB', 'CD4Tcm_Frequency', 'CD4Tem_STAT3', 'CD4Tem_IkB', 'CD4Tem_STAT6', 'CD4Tem_Frequency', 'CD4Tnaive_Frequency', 'CD4Trm_STAT5', 'CD4Trm_S6', 'CD4Trm_IkB', 'CD4Trm_NFkB', 'CD4Trm_STAT6', 'CD56brightCD16nNKcells_IkB', 'CD56brightCD16nNKcells_Frequency', 'CD56dimCD16pNKcells_CREB', 'CD56dimCD16pNKcells_Frequency', 'CD61pCD41pPLT_CREB', 'CD61pCD41pPLT_STAT3', 'CD61pCD41pPLT_S6', 'CD61pCD41pPLT_NFkB', 'CD62LnAgedNeutrophils_p38', 'CD62LnAgedNeutrophils_STAT3', 'CD62LnAgedNeutrophils_S6', 'CD62LnAgedNeutrophils_IkB', 'CD62LnAgedNeutrophils_MAPKAPK2', 'CD62LnAgedNeutrophils_Frequency', 'CD62LpImmatureNeutrophils_CREB', 'CD62LpImmatureNeutrophils_S6', 'CD62LpImmatureNeutrophils_IkB', 'CD62LpImmatureNeutrophils_Frequency', 'CD8Tcm_STAT5', 'CD8Tcm_STAT3', 'CD8Tnaive_Frequency', 'CD8Trm_Frequency', 'gdTcells_IkB', 'gdTcells_NFkB', 'gdTcells_Frequency', 'intMC_S6', 'intMC_IkB', 'intMC_Frequency', 'mDC_STAT3', 'mDC_S6', 'mDC_IkB', 'MDSC_STAT3', 'MDSC_S6', 'MDSC_IkB', 'NKT_STAT5', 'NKT_IkB', 'NKT_STAT6', 'NKT_Frequency', 'pDC_CREB', 'pDC_STAT5', 'pDC_S6', 'pDC_IkB', 'pDC_MAPKAPK2', 'Th1mem_CREB', 'Th1mem_STAT5', 'Th1mem_IkB', 'Th1mem_ERK', 'Th1mem_STAT6', 'Th1naive_CREB', 'Th1naive_STAT5', 'Th1naive_STAT3', 'Th1naive_IkB', 'Th1naive_NFkB', 'Th1naive_ERK', 'Th1naive_STAT6', 'Tregmem_STAT5', 'Tregmem_NFkB', 'Tregmem_Frequency', 'Tregnaive_STAT5', 'Tregnaive_S6', 'Tregnaive_STAT6']",85
Fold 15,"['Bcells_NFkB', 'Bcells_Frequency', 'CCR2nncMC_CREB', 'CCR2nncMC_S6', 'CCR2nncMC_IkB', 'CCR2nncMC_NFkB', 'CCR2nncMC_MAPKAPK2', 'CCR2nncMC_Frequency', 'CCR2pcMC_S6', 'CCR2pcMC_NFkB', 'CCR2pcMC_Frequency', 'CD41hiCD61hiPLT_p38', 'CD4Tcm_STAT5', 'CD4Tcm_IkB', 'CD4Tcm_Frequency', 'CD4Tem_STAT3', 'CD4Tem_IkB', 'CD4Tem_STAT6', 'CD4Tem_Frequency', 'CD4Tnaive_IkB', 'CD4Tnaive_Frequency', 'CD4Trm_STAT5', 'CD4Trm_S6', 'CD4Trm_IkB', 'CD4Trm_NFkB', 'CD4Trm_STAT6', 'CD4Trm_Frequency', 'CD56brightCD16nNKcells_IkB', 'CD56brightCD16nNKcells_Frequency', 'CD56dimCD16pNKcells_CREB', 'CD56dimCD16pNKcells_NFkB', 'CD56dimCD16pNKcells_Frequency', 'CD61pCD41pPLT_CREB', 'CD61pCD41pPLT_STAT3', 'CD61pCD41pPLT_S6', 'CD61pCD41pPLT_IkB', 'CD61pCD41pPLT_NFkB', 'CD62LnAgedNeutrophils_CREB', 'CD62LnAgedNeutrophils_p38', 'CD62LnAgedNeutrophils_S6', 'CD62LnAgedNeutrophils_IkB', 'CD62LnAgedNeutrophils_MAPKAPK2', 'CD62LnAgedNeutrophils_Frequency', 'CD62LpImmatureNeutrophils_STAT3', 'CD62LpImmatureNeutrophils_S6', 'CD62LpImmatureNeutrophils_IkB', 'CD62LpImmatureNeutrophils_Frequency', 'CD8Tcm_STAT5', 'CD8Tcm_STAT3', 'CD8Tcm_NFkB', 'CD8Tcm_Frequency', 'CD8Tem_Frequency', 'CD8Tnaive_STAT5', 'CD8Tnaive_STAT3', 'CD8Tnaive_IkB', 'CD8Tnaive_NFkB', 'CD8Tnaive_Frequency', 'CD8Trm_Frequency', 'gdTcells_IkB', 'gdTcells_NFkB', 'gdTcells_Frequency', 'intMC_S6', 'intMC_IkB', 'intMC_Frequency', 'mDC_STAT3', 'mDC_S6', 'mDC_IkB', 'mDC_Frequency', 'MDSC_CREB', 'MDSC_S6', 'MDSC_IkB', 'MDSC_Frequency', 'NKT_STAT5', 'NKT_IkB', 'NKT_NFkB', 'NKT_STAT6', 'NKT_Frequency', 'pDC_CREB', 'pDC_STAT5', 'pDC_S6', 'pDC_IkB', 'pDC_MAPKAPK2', 'Th1mem_CREB', 'Th1mem_STAT5', 'Th1mem_STAT3', 'Th1mem_ERK', 'Th1mem_STAT6', 'Th1naive_CREB', 'Th1naive_STAT5', 'Th1naive_STAT3', 'Th1naive_S6', 'Th1naive_IkB', 'Th1naive_NFkB', 'Th1naive_ERK', 'Th1naive_STAT6', 'Th1naive_MAPKAPK2', 'Tregmem_STAT5', 'Tregmem_STAT3', 'Tregmem_NFkB', 'Tregmem_Frequency', 'Tregnaive_STAT5', 'Tregnaive_STAT3', 'Tregnaive_S6', 'Tregnaive_STAT6']",104
Fold 16,[],0
Fold 17,"['Bcells_NFkB', 'Bcells_Frequency', 'CCR2nncMC_S6', 'CCR2nncMC_NFkB', 'CCR2nncMC_MAPKAPK2', 'CCR2nncMC_Frequency', 'CCR2pcMC_S6', 'CCR2pcMC_Frequency', 'CD4Tcm_Frequency', 'CD4Tnaive_Frequency', 'CD4Trm_STAT5', 'CD4Trm_S6', 'CD4Trm_STAT6', 'CD56brightCD16nNKcells_Frequency', 'CD56dimCD16pNKcells_Frequency', 'CD61pCD41pPLT_CREB', 'CD61pCD41pPLT_STAT3', 'CD62LnAgedNeutrophils_p38', 'CD62LnAgedNeutrophils_S6', 'CD62LnAgedNeutrophils_IkB', 'CD62LnAgedNeutrophils_MAPKAPK2', 'CD62LnAgedNeutrophils_Frequency', 'CD62LpImmatureNeutrophils_S6', 'CD62LpImmatureNeutrophils_Frequency', 'CD8Tcm_STAT3', 'CD8Tnaive_Frequency', 'gdTcells_IkB', 'gdTcells_Frequency', 'intMC_S6', 'intMC_Frequency', 'mDC_S6', 'MDSC_S6', 'MDSC_IkB', 'pDC_STAT5', 'pDC_S6', 'pDC_MAPKAPK2', 'Th1mem_STAT5', 'Th1mem_ERK', 'Th1mem_STAT6', 'Th1naive_NFkB', 'Th1naive_STAT6', 'Tregmem_STAT5', 'Tregnaive_STAT5', 'Tregnaive_STAT6']",44
Fold 18,[],0
Fold 19,[],0
