,C'=' 0.048,C'=' 0.576,C'=' 1.104,C'=' 1.633,C'=' 2.161,C'=' 2.689,C'=' 3.217,C'=' 3.745,C'=' 4.274,C'=' 4.802
artificial.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.3,0.0,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
artificial.4,0.0,0.066,0.074,0.076,0.081,0.084,0.088,0.088,0.094,0.095
artificial.5,0.0,0.041,0.055,0.065,0.07,0.07,0.072,0.073,0.072,0.072
artificial.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.7,0.0,0.039,0.039,0.038,0.041,0.043,0.04,0.042,0.043,0.044
artificial.8,0.0,0.008,0.005,0.007,0.008,0.009,0.009,0.009,0.011,0.011
artificial.9,0.0,0.0,0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.003
artificial.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.11,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.14,0.0,0.005,0.004,0.003,0.003,0.004,0.004,0.004,0.004,0.004
artificial.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.17,0.0,0.009,0.012,0.015,0.016,0.02,0.026,0.025,0.026,0.025
artificial.18,0.0,0.017,0.013,0.017,0.015,0.016,0.019,0.021,0.021,0.025
artificial.19,0.0,0.05,0.057,0.053,0.052,0.058,0.059,0.06,0.058,0.059
artificial.20,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.001,0.001
artificial.21,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
artificial.22,0.0,0.004,0.004,0.005,0.004,0.008,0.007,0.008,0.008,0.008
artificial.23,0.0,0.006,0.009,0.012,0.013,0.013,0.014,0.014,0.014,0.015
artificial.24,0.0,0.017,0.021,0.026,0.027,0.029,0.032,0.032,0.031,0.032
artificial.25,0.0,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0
artificial.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.28,0.0,0.096,0.115,0.123,0.128,0.129,0.134,0.135,0.138,0.142
artificial.29,0.0,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003
artificial.30,0.0,0.02,0.019,0.021,0.025,0.026,0.026,0.027,0.028,0.026
artificial.31,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001
artificial.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.33,0.0,0.012,0.022,0.024,0.023,0.022,0.024,0.024,0.022,0.024
artificial.34,0.0,0.0,0.002,0.002,0.001,0.002,0.001,0.002,0.003,0.001
artificial.35,0.0,0.087,0.151,0.173,0.19,0.198,0.204,0.21,0.21,0.215
artificial.36,0.0,0.052,0.048,0.047,0.046,0.045,0.047,0.049,0.049,0.047
artificial.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.39,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
artificial.40,0.0,0.08,0.091,0.093,0.094,0.093,0.094,0.093,0.094,0.092
artificial.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.44,0.0,0.023,0.031,0.038,0.04,0.04,0.042,0.043,0.043,0.044
artificial.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.47,0.0,0.039,0.044,0.045,0.049,0.051,0.053,0.053,0.055,0.056
artificial.48,0.0,0.006,0.005,0.005,0.005,0.007,0.006,0.007,0.006,0.006
artificial.49,0.0,0.002,0.003,0.004,0.004,0.003,0.003,0.004,0.003,0.003
artificial.50,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0
artificial.51,0.0,0.004,0.008,0.008,0.009,0.008,0.009,0.009,0.008,0.01
artificial.52,0.0,0.001,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005
artificial.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.54,0.0,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003
artificial.55,0.0,0.001,0.002,0.003,0.003,0.003,0.003,0.004,0.005,0.008
artificial.56,0.0,0.009,0.011,0.01,0.01,0.01,0.011,0.011,0.013,0.012
artificial.57,0.0,0.009,0.017,0.022,0.024,0.025,0.024,0.025,0.025,0.027
artificial.58,0.0,0.0,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003
artificial.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.60,0.0,0.01,0.011,0.011,0.011,0.011,0.012,0.012,0.011,0.011
artificial.61,0.0,0.068,0.075,0.076,0.077,0.081,0.084,0.084,0.086,0.085
artificial.62,0.0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003
artificial.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.001
artificial.64,0.0,0.002,0.0,0.001,0.0,0.001,0.0,0.001,0.001,0.0
artificial.65,0.0,0.002,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003
artificial.66,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
