,C'=' 0.041,C'=' 0.487,C'=' 0.933,C'=' 1.379,C'=' 1.825,C'=' 2.271,C'=' 2.717,C'=' 3.163,C'=' 3.609,C'=' 4.055
artificial.1,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.021,0.026,0.045
artificial.2,0.0,0.142,0.184,0.225,0.274,0.309,0.333,0.355,0.377,0.427
artificial.3,0.0,0.856,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894
artificial.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.5,0.0,0.0,0.0,0.002,0.002,0.002,0.002,0.012,0.031,0.031
artificial.6,0.0,0.344,0.603,0.706,0.77,0.795,0.807,0.826,0.837,0.853
artificial.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
artificial.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.11,0.0,0.0,0.0,0.007,0.017,0.017,0.017,0.021,0.047,0.047
artificial.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.017
artificial.14,0.0,0.239,0.31,0.379,0.433,0.472,0.503,0.585,0.643,0.669
artificial.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.026
artificial.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.20,0.0,0.544,0.696,0.754,0.792,0.825,0.839,0.874,0.878,0.893
artificial.21,0.0,0.036,0.068,0.079,0.097,0.128,0.149,0.165,0.189,0.221
artificial.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.24,0.0,0.581,0.781,0.845,0.861,0.876,0.882,0.882,0.882,0.882
artificial.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.26,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.023,0.025,0.037
artificial.27,0.0,0.142,0.367,0.49,0.601,0.635,0.71,0.766,0.812,0.824
artificial.28,0.0,0.0,0.006,0.014,0.018,0.035,0.051,0.067,0.068,0.072
artificial.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.31,0.0,0.021,0.05,0.074,0.121,0.178,0.249,0.291,0.349,0.415
artificial.32,0.0,0.0,0.0,0.004,0.009,0.025,0.043,0.056,0.072,0.111
artificial.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.35,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.014,0.014,0.028
artificial.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004
artificial.40,0.0,0.124,0.219,0.265,0.28,0.322,0.341,0.369,0.391,0.455
artificial.41,0.0,0.0,0.053,0.076,0.094,0.099,0.128,0.204,0.343,0.498
artificial.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.43,0.0,0.366,0.53,0.65,0.714,0.78,0.817,0.846,0.85,0.857
artificial.44,0.0,0.291,0.406,0.509,0.534,0.591,0.626,0.65,0.697,0.723
artificial.45,0.0,0.169,0.388,0.508,0.577,0.65,0.687,0.72,0.742,0.781
artificial.46,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.031,0.036,0.066
artificial.47,0.0,0.641,0.77,0.862,0.933,0.965,0.975,0.991,0.996,1.0
artificial.48,0.0,0.086,0.202,0.302,0.39,0.448,0.524,0.613,0.676,0.717
artificial.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.50,0.0,0.452,0.546,0.616,0.66,0.701,0.712,0.761,0.772,0.783
artificial.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.52,0.0,0.468,0.572,0.689,0.746,0.798,0.864,0.902,0.924,0.929
artificial.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.54,0.0,0.941,0.972,0.983,0.983,0.996,0.996,0.996,0.996,0.996
artificial.55,0.0,0.008,0.008,0.051,0.051,0.051,0.066,0.076,0.093,0.119
artificial.56,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.009,0.009
artificial.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.62,0.0,0.0,0.0,0.006,0.011,0.027,0.066,0.088,0.109,0.14
artificial.63,0.0,0.445,0.697,0.827,0.87,0.889,0.904,0.904,0.904,0.904
artificial.64,0.0,0.0,0.0,0.028,0.065,0.083,0.094,0.101,0.129,0.201
