,Max Proba
artificial.34,1.0
artificial.24,1.0
artificial.26,1.0
artificial.41,1.0
artificial.21,1.0
artificial.39,1.0
artificial.19,1.0
artificial.32,1.0
artificial.9,1.0
artificial.36,1.0
artificial.22,0.989
artificial.35,0.0
artificial.33,0.0
artificial.37,0.0
artificial.31,0.0
artificial.30,0.0
artificial.29,0.0
artificial.28,0.0
artificial.38,0.0
artificial.27,0.0
artificial.40,0.0
artificial.42,0.0
artificial.25,0.0
artificial.1,0.0
artificial.23,0.0
artificial.11,0.0
artificial.3,0.0
artificial.4,0.0
artificial.5,0.0
artificial.6,0.0
artificial.7,0.0
artificial.8,0.0
artificial.10,0.0
artificial.12,0.0
artificial.2,0.0
artificial.13,0.0
artificial.14,0.0
artificial.15,0.0
artificial.16,0.0
artificial.17,0.0
artificial.18,0.0
artificial.20,0.0
artificial.43,0.0
