,Fold selected features,Fold nb of features
Fold 0,"['CREB', 'STAT5', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",8
Fold 1,['S6'],1
Fold 2,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'MAPKAPK2']",9
Fold 3,['S6'],1
Fold 4,['S6'],1
Fold 5,['S6'],1
Fold 6,['S6'],1
Fold 7,['S6'],1
Fold 8,['S6'],1
Fold 9,['S6'],1
Fold 10,['S6'],1
Fold 11,"['S6', 'ERK']",2
Fold 12,['S6'],1
Fold 13,['S6'],1
Fold 14,['S6'],1
Fold 15,['S6'],1
Fold 16,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",9
Fold 17,['S6'],1
Fold 18,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",8
Fold 19,['S6'],1
Fold 20,['S6'],1
Fold 21,['S6'],1
Fold 22,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'MAPKAPK2']",9
Fold 23,['S6'],1
Fold 24,['S6'],1
Fold 25,['S6'],1
Fold 26,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",8
Fold 27,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",9
Fold 28,['S6'],1
Fold 29,['S6'],1
Fold 30,"['S6', 'ERK']",2
Fold 31,['S6'],1
Fold 32,['S6'],1
Fold 33,['S6'],1
Fold 34,['S6'],1
Fold 35,['S6'],1
Fold 36,['S6'],1
Fold 37,['S6'],1
Fold 38,"['CREB', 'STAT5', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",8
Fold 39,['S6'],1
Fold 40,['S6'],1
Fold 41,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",9
Fold 42,"['CREB', 'STAT5', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",8
Fold 43,"['S6', 'ERK']",2
Fold 44,['S6'],1
Fold 45,['S6'],1
Fold 46,['S6'],1
Fold 47,['S6'],1
Fold 48,['S6'],1
Fold 49,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",8
Fold 50,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'MAPKAPK2']",9
Fold 51,['S6'],1
Fold 52,['S6'],1
Fold 53,['S6'],1
Fold 54,['S6'],1
Fold 55,['S6'],1
Fold 56,['S6'],1
Fold 57,['S6'],1
Fold 58,['S6'],1
Fold 59,['S6'],1
Fold 60,"['CREB', 'STAT5', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",8
Fold 61,['S6'],1
Fold 62,['S6'],1
Fold 63,['S6'],1
Fold 64,['S6'],1
Fold 65,['S6'],1
Fold 66,['S6'],1
Fold 67,['S6'],1
Fold 68,['S6'],1
Fold 69,['S6'],1
Fold 70,['S6'],1
Fold 71,['S6'],1
Fold 72,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'MAPKAPK2']",9
Fold 73,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",9
Fold 74,['S6'],1
Fold 75,['S6'],1
Fold 76,['S6'],1
Fold 77,['S6'],1
Fold 78,"['S6', 'ERK']",2
Fold 79,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",8
Fold 80,['S6'],1
Fold 81,"['S6', 'ERK']",2
Fold 82,['S6'],1
Fold 83,['S6'],1
Fold 84,"['CREB', 'STAT5', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",8
Fold 85,['S6'],1
Fold 86,['S6'],1
Fold 87,['S6'],1
Fold 88,['S6'],1
Fold 89,['S6'],1
Fold 90,['S6'],1
Fold 91,['S6'],1
Fold 92,['S6'],1
Fold 93,['S6'],1
Fold 94,['S6'],1
Fold 95,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",9
Fold 96,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",8
Fold 97,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'MAPKAPK2']",9
Fold 98,['S6'],1
Fold 99,['S6'],1
Fold 100,['S6'],1
Fold 101,['S6'],1
Fold 102,['S6'],1
Fold 103,['S6'],1
Fold 104,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'MAPKAPK2']",9
Fold 105,['S6'],1
Fold 106,['S6'],1
Fold 107,['S6'],1
Fold 108,['S6'],1
Fold 109,"['S6', 'ERK']",2
Fold 110,['S6'],1
Fold 111,['S6'],1
Fold 112,['S6'],1
Fold 113,['S6'],1
Fold 114,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",9
Fold 115,['S6'],1
Fold 116,['S6'],1
Fold 117,"['CREB', 'STAT5', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",8
Fold 118,['S6'],1
Fold 119,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",8
Fold 120,['S6'],1
Fold 121,['S6'],1
Fold 122,['S6'],1
Fold 123,['S6'],1
Fold 124,['S6'],1
Fold 125,['S6'],1
Fold 126,['S6'],1
Fold 127,"['S6', 'ERK']",2
Fold 128,['S6'],1
Fold 129,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'MAPKAPK2']",9
Fold 130,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",8
Fold 131,['S6'],1
Fold 132,"['CREB', 'STAT5', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",8
Fold 133,['S6'],1
Fold 134,['S6'],1
Fold 135,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",9
Fold 136,['S6'],1
Fold 137,['S6'],1
Fold 138,['S6'],1
Fold 139,['S6'],1
Fold 140,['S6'],1
Fold 141,['S6'],1
Fold 142,['S6'],1
Fold 143,['S6'],1
Fold 144,['S6'],1
Fold 145,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'MAPKAPK2']",9
Fold 146,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",9
Fold 147,['S6'],1
Fold 148,['S6'],1
Fold 149,['S6'],1
Fold 150,['S6'],1
Fold 151,['S6'],1
Fold 152,['S6'],1
Fold 153,['S6'],1
Fold 154,['S6'],1
Fold 155,"['CREB', 'STAT5', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",8
Fold 156,"['S6', 'ERK']",2
Fold 157,['S6'],1
Fold 158,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",8
Fold 159,['S6'],1
Fold 160,['S6'],1
Fold 161,['S6'],1
Fold 162,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",9
Fold 163,['S6'],1
Fold 164,"['CREB', 'STAT5', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",8
Fold 165,['S6'],1
Fold 166,['S6'],1
Fold 167,['S6'],1
Fold 168,['S6'],1
Fold 169,['S6'],1
Fold 170,"['S6', 'ERK']",2
Fold 171,['S6'],1
Fold 172,['S6'],1
Fold 173,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'MAPKAPK2']",9
Fold 174,['S6'],1
Fold 175,['S6'],1
Fold 176,['S6'],1
Fold 177,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",8
Fold 178,['S6'],1
Fold 179,['S6'],1
Fold 180,['S6'],1
Fold 181,['S6'],1
Fold 182,['S6'],1
Fold 183,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'MAPKAPK2']",9
Fold 184,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",9
Fold 185,['S6'],1
Fold 186,['S6'],1
Fold 187,"['S6', 'ERK']",2
Fold 188,['S6'],1
Fold 189,['S6'],1
Fold 190,['S6'],1
Fold 191,['S6'],1
Fold 192,['S6'],1
Fold 193,"['CREB', 'STAT5', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6']",8
Fold 194,"['CREB', 'STAT5', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",8
Fold 195,['S6'],1
Fold 196,['S6'],1
Fold 197,['S6'],1
Fold 198,['S6'],1
Fold 199,['S6'],1
