,Fold selected features,Fold nb of features
Fold 10,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_stromal_cellfrequency', 'Tumor non-proliferating_tumorfront_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_intratumor_cellfrequency', 'Vessel_stromal_cellfrequency', 'Vessel_tumorfront_cellfrequency', 'Fibroblasts_intratumor_cellfrequency', 'Fibroblasts_stromal_cellfrequency', 'CD4 T cells naive_stromal_cellfrequency', 'CD4 T cells regulatory_tumorfront_cellfrequency', 'B cells_intratumor_cellfrequency', 'CD8 T cells_stromal_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid M1 macrophages_stromal_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'Myeloid M2 macrophages_intratumor_cellfrequency', 'Myeloid Granulocytes_stromal_cellfrequency', 'Tumor non-proliferating_intratumor_CD44', 'CD4 T cells naive_stromal_CD44', 'Myeloid Granulocytes_stromal_GranzymeB', 'Myeloid DCs_stromal_CD44', 'Tumor non-proliferating_intratumor_area', 'CD4 T cells naive_stromal_area', 'CD4 T cells memory_stromal_area', 'Tumor non-proliferating_intratumor_eccentricity', 'Myeloid M2 macrophages_stromal_eccentricity', 'Myeloid DCs_stromal_eccentricity', 'Myeloid Monocytes_tumorfront_eccentricity', 'Tumor non-proliferating_tumorfront_celldistance', 'Vessel_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.Tumor.non.proliferating', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.Tumor.proliferating', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD8.T.cells']",35
Fold 11,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_stromal_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_intratumor_cellfrequency', 'Vessel_stromal_cellfrequency', 'Vessel_tumorfront_cellfrequency', 'Fibroblasts_intratumor_cellfrequency', 'Fibroblasts_stromal_cellfrequency', 'CD4 T cells regulatory_stromal_cellfrequency', 'CD4 T cells regulatory_tumorfront_cellfrequency', 'B cells_intratumor_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid M1 macrophages_stromal_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'Myeloid Granulocytes_stromal_cellfrequency', 'Tumor non-proliferating_intratumor_CD44', 'CD4 T cells naive_stromal_CD44', 'CD4 T cells naive_tumorfront_pS6', 'Myeloid Granulocytes_stromal_GranzymeB', 'Tumor non-proliferating_tumorfront_area', 'CD4 T cells naive_stromal_area', 'CD4 T cells memory_stromal_area', 'CD8 T cells_intratumor_area', 'Tumor non-proliferating_intratumor_eccentricity', 'CD4 T cells naive_stromal_eccentricity', 'CD4 T cells memory_stromal_eccentricity', 'CD4 T cells regulatory_tumorfront_eccentricity', 'Vessel_tumorfront_celldistance', 'Fibroblasts_tumorfront_celldistance', 'CD4 T cells memory_tumorfront_celldistance', 'B cells_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance', 'Tumor proliferating_intratumor_aggregatedNeighbors.CD8.T.cells', 'Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.naive', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD8.T.cells']",36
Fold 12,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_tumorfront_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_intratumor_cellfrequency', 'Vessel_stromal_cellfrequency', 'Vessel_tumorfront_cellfrequency', 'Fibroblasts_stromal_cellfrequency', 'Fibroblasts_tumorfront_cellfrequency', 'CD4 T cells naive_stromal_cellfrequency', 'CD4 T cells regulatory_tumorfront_cellfrequency', 'B cells_intratumor_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'Myeloid Granulocytes_stromal_cellfrequency', 'CD4 T cells naive_stromal_CD44', 'Myeloid Granulocytes_stromal_GranzymeB', 'Myeloid Granulocytes_stromal_CD44', 'Tumor non-proliferating_intratumor_area', 'CD4 T cells naive_stromal_area', 'CD4 T cells naive_tumorfront_area', 'CD8 T cells_intratumor_area', 'Myeloid M2 macrophages_tumorfront_area', 'Tumor non-proliferating_intratumor_eccentricity', 'Fibroblasts_stromal_eccentricity', 'Tumor non-proliferating_tumorfront_celldistance', 'Vessel_tumorfront_celldistance', 'B cells_tumorfront_celldistance', 'Myeloid M1 macrophages_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance', 'CD4 T cells regulatory_stromal_aggregatedNeighbors.Myeloid.Monocytes', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.Tumor.proliferating', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD8.T.cells']",33
Fold 13,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_tumorfront_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_intratumor_cellfrequency', 'Vessel_tumorfront_cellfrequency', 'Fibroblasts_stromal_cellfrequency', 'CD4 T cells naive_stromal_cellfrequency', 'CD4 T cells regulatory_stromal_cellfrequency', 'CD4 T cells regulatory_tumorfront_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid M1 macrophages_stromal_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'Tumor non-proliferating_intratumor_CD44', 'CD4 T cells naive_tumorfront_pS6', 'Tumor non-proliferating_intratumor_area', 'Tumor non-proliferating_tumorfront_area', 'CD4 T cells naive_stromal_area', 'CD4 T cells naive_tumorfront_area', 'Tumor non-proliferating_intratumor_eccentricity', 'Tumor proliferating_intratumor_eccentricity', 'Vessel_tumorfront_eccentricity', 'Fibroblasts_stromal_eccentricity', 'Myeloid M2 macrophages_stromal_eccentricity', 'Myeloid Granulocytes_stromal_eccentricity', 'Vessel_tumorfront_celldistance', 'CD4 T cells naive_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance', 'Tumor proliferating_intratumor_aggregatedNeighbors.CD8.T.cells', 'Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.M1.macrophages', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD8.T.cells']",31
Fold 14,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_tumorfront_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_intratumor_cellfrequency', 'Fibroblasts_intratumor_cellfrequency', 'Fibroblasts_stromal_cellfrequency', 'CD4 T cells regulatory_tumorfront_cellfrequency', 'B cells_intratumor_cellfrequency', 'B cells_stromal_cellfrequency', 'CD8 T cells_stromal_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'Tumor non-proliferating_stromal_pERK', 'CD4 T cells memory_stromal_CD44', 'Myeloid Granulocytes_stromal_GranzymeB', 'Tumor non-proliferating_intratumor_area', 'Tumor non-proliferating_tumorfront_area', 'CD4 T cells naive_stromal_area', 'CD4 T cells memory_stromal_area', 'CD8 T cells_intratumor_area', 'Tumor non-proliferating_intratumor_eccentricity', 'Vessel_tumorfront_eccentricity', 'Fibroblasts_tumorfront_eccentricity', 'Myeloid M2 macrophages_stromal_eccentricity', 'Tumor non-proliferating_tumorfront_celldistance', 'Myeloid M1 macrophages_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance', 'B cells_stromal_aggregatedNeighbors.Vessel', 'Myeloid Granulocytes_stromal_aggregatedNeighbors.CD8.T.cells', 'Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.M1.macrophages']",31
Fold 15,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_stromal_cellfrequency', 'Tumor non-proliferating_tumorfront_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_intratumor_cellfrequency', 'Vessel_stromal_cellfrequency', 'Vessel_tumorfront_cellfrequency', 'Fibroblasts_stromal_cellfrequency', 'CD4 T cells naive_stromal_cellfrequency', 'CD4 T cells regulatory_tumorfront_cellfrequency', 'B cells_intratumor_cellfrequency', 'CD8 T cells_stromal_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'Myeloid Granulocytes_stromal_cellfrequency', 'Myeloid Granulocytes_stromal_GranzymeB', 'Myeloid DCs_stromal_CD44', 'Tumor non-proliferating_intratumor_area', 'Tumor non-proliferating_tumorfront_area', 'CD4 T cells naive_stromal_area', 'CD4 T cells memory_stromal_area', 'CD8 T cells_intratumor_area', 'Tumor non-proliferating_intratumor_eccentricity', 'Fibroblasts_stromal_eccentricity', 'CD4 T cells memory_stromal_eccentricity', 'Myeloid M2 macrophages_stromal_eccentricity', 'Myeloid Monocytes_tumorfront_celldistance', 'Tumor proliferating_intratumor_aggregatedNeighbors.CD8.T.cells', 'CD8 T cells_stromal_aggregatedNeighbors.Myeloid.M1.macrophages', 'Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.memory', 'Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.M1.macrophages', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD8.T.cells']",33
Fold 16,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_tumorfront_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_intratumor_cellfrequency', 'Vessel_tumorfront_cellfrequency', 'Fibroblasts_stromal_cellfrequency', 'CD4 T cells naive_stromal_cellfrequency', 'CD4 T cells regulatory_tumorfront_cellfrequency', 'B cells_intratumor_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid M1 macrophages_stromal_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'Myeloid Granulocytes_stromal_cellfrequency', 'CD4 T cells naive_stromal_CD44', 'B cells_tumorfront_CD36', 'Myeloid Granulocytes_stromal_GranzymeB', 'Tumor non-proliferating_intratumor_area', 'CD4 T cells naive_stromal_area', 'Vessel_tumorfront_eccentricity', 'Myeloid M2 macrophages_stromal_eccentricity', 'Tumor non-proliferating_tumorfront_celldistance', 'Vessel_tumorfront_celldistance', 'CD4 T cells naive_tumorfront_celldistance', 'CD4 T cells regulatory_tumorfront_celldistance', 'Myeloid M1 macrophages_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.Tumor.non.proliferating']",27
Fold 17,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_stromal_cellfrequency', 'Tumor non-proliferating_tumorfront_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_intratumor_cellfrequency', 'Vessel_tumorfront_cellfrequency', 'Fibroblasts_intratumor_cellfrequency', 'Fibroblasts_tumorfront_cellfrequency', 'CD4 T cells naive_stromal_cellfrequency', 'CD4 T cells regulatory_tumorfront_cellfrequency', 'B cells_intratumor_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'Myeloid Monocytes_intratumor_cellfrequency', 'CD4 T cells naive_stromal_CD44', 'CD4 T cells naive_tumorfront_pS6', 'Myeloid Granulocytes_stromal_GranzymeB', 'Myeloid Monocytes_tumorfront_CD36', 'Tumor non-proliferating_intratumor_area', 'CD4 T cells naive_stromal_area', 'CD4 T cells naive_tumorfront_area', 'Tumor non-proliferating_intratumor_eccentricity', 'Tumor non-proliferating_stromal_eccentricity', 'Vessel_tumorfront_eccentricity', 'CD4 T cells memory_stromal_eccentricity', 'Myeloid M2 macrophages_stromal_eccentricity', 'Tumor non-proliferating_tumorfront_celldistance', 'Vessel_tumorfront_celldistance', 'B cells_tumorfront_celldistance', 'Myeloid M1 macrophages_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance', 'Tumor non-proliferating_tumorfront_aggregatedNeighbors.Tumor.proliferating', 'CD4 T cells regulatory_stromal_aggregatedNeighbors.Myeloid.Monocytes', 'CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.memory', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD8.T.cells']",37
Fold 18,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_tumorfront_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_intratumor_cellfrequency', 'Fibroblasts_intratumor_cellfrequency', 'CD4 T cells naive_stromal_cellfrequency', 'CD4 T cells regulatory_stromal_cellfrequency', 'B cells_tumorfront_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid M1 macrophages_stromal_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'Myeloid Granulocytes_intratumor_cellfrequency', 'Myeloid Granulocytes_stromal_cellfrequency', 'Tumor non-proliferating_intratumor_CD44', 'CD4 T cells naive_stromal_CD44', 'Myeloid Granulocytes_stromal_GranzymeB', 'Tumor non-proliferating_intratumor_area', 'CD4 T cells naive_stromal_area', 'CD4 T cells memory_stromal_area', 'Tumor non-proliferating_intratumor_eccentricity', 'Tumor proliferating_intratumor_eccentricity', 'Vessel_tumorfront_eccentricity', 'Myeloid M2 macrophages_stromal_eccentricity', 'Myeloid Monocytes_tumorfront_eccentricity', 'Vessel_tumorfront_celldistance', 'CD4 T cells memory_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance', 'Tumor proliferating_intratumor_aggregatedNeighbors.CD8.T.cells', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.Tumor.proliferating', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD8.T.cells']",31
Fold 19,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_stromal_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_intratumor_cellfrequency', 'Vessel_tumorfront_cellfrequency', 'Fibroblasts_intratumor_cellfrequency', 'Fibroblasts_tumorfront_cellfrequency', 'CD4 T cells memory_stromal_cellfrequency', 'CD4 T cells regulatory_tumorfront_cellfrequency', 'CD8 T cells_stromal_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid M1 macrophages_stromal_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'Myeloid Granulocytes_stromal_cellfrequency', 'Tumor non-proliferating_intratumor_CD44', 'Tumor proliferating_tumorfront_pMAPKAPK2', 'CD4 T cells memory_stromal_CD44', 'Tumor non-proliferating_intratumor_area', 'Tumor non-proliferating_stromal_area', 'Tumor non-proliferating_tumorfront_area', 'CD4 T cells memory_stromal_area', 'CD8 T cells_intratumor_area', 'Tumor non-proliferating_intratumor_eccentricity', 'Fibroblasts_stromal_eccentricity', 'Myeloid M2 macrophages_stromal_eccentricity', 'Vessel_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance', 'CD4 T cells naive_tumorfront_aggregatedNeighbors.Tumor.proliferating', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD8.T.cells']",30
Fold 20,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_stromal_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_intratumor_cellfrequency', 'Fibroblasts_intratumor_cellfrequency', 'Fibroblasts_stromal_cellfrequency', 'CD4 T cells naive_stromal_cellfrequency', 'CD4 T cells regulatory_tumorfront_cellfrequency', 'B cells_intratumor_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'Tumor non-proliferating_stromal_E-Cadherin', 'Tumor non-proliferating_stromal_pERK', 'CD4 T cells naive_stromal_CD44', 'Myeloid Granulocytes_stromal_GranzymeB', 'Tumor non-proliferating_intratumor_area', 'Tumor non-proliferating_tumorfront_area', 'Tumor proliferating_tumorfront_area', 'Fibroblasts_tumorfront_area', 'CD4 T cells naive_stromal_area', 'CD4 T cells memory_stromal_area', 'CD8 T cells_intratumor_area', 'Tumor non-proliferating_intratumor_eccentricity', 'Tumor non-proliferating_stromal_eccentricity', 'Myeloid M2 macrophages_stromal_eccentricity', 'Tumor non-proliferating_tumorfront_celldistance', 'Fibroblasts_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance', 'Tumor proliferating_intratumor_aggregatedNeighbors.CD8.T.cells', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD8.T.cells']",31
Fold 21,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_tumorfront_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_intratumor_cellfrequency', 'CD4 T cells naive_stromal_cellfrequency', 'CD4 T cells regulatory_stromal_cellfrequency', 'B cells_intratumor_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid M1 macrophages_stromal_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'Myeloid Granulocytes_stromal_cellfrequency', 'Myeloid Monocytes_intratumor_cellfrequency', 'Tumor non-proliferating_intratumor_CD44', 'Myeloid M1 macrophages_stromal_pERK', 'Myeloid Granulocytes_stromal_GranzymeB', 'Myeloid Monocytes_tumorfront_CD36', 'Fibroblasts_tumorfront_area', 'CD8 T cells_intratumor_area', 'Fibroblasts_stromal_eccentricity', 'CD4 T cells memory_stromal_eccentricity', 'Myeloid M2 macrophages_stromal_eccentricity', 'Myeloid Monocytes_tumorfront_eccentricity', 'Vessel_tumorfront_celldistance', 'CD4 T cells memory_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance', 'Tumor proliferating_intratumor_aggregatedNeighbors.CD8.T.cells', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.Tumor.non.proliferating', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.Tumor.proliferating', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD8.T.cells']",29
Fold 22,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_stromal_cellfrequency', 'Tumor non-proliferating_tumorfront_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_intratumor_cellfrequency', 'Vessel_tumorfront_cellfrequency', 'Fibroblasts_intratumor_cellfrequency', 'Fibroblasts_stromal_cellfrequency', 'CD4 T cells naive_stromal_cellfrequency', 'CD4 T cells memory_stromal_cellfrequency', 'CD4 T cells regulatory_tumorfront_cellfrequency', 'CD8 T cells_stromal_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'Myeloid Granulocytes_stromal_cellfrequency', 'CD4 T cells naive_stromal_CD44', 'CD4 T cells naive_tumorfront_pS6', 'CD4 T cells regulatory_stromal_CD44', 'Myeloid Granulocytes_stromal_GranzymeB', 'Myeloid Granulocytes_stromal_pERK', 'Myeloid Monocytes_tumorfront_CD36', 'Tumor non-proliferating_tumorfront_area', 'CD4 T cells naive_stromal_area', 'CD4 T cells memory_stromal_area', 'CD8 T cells_intratumor_area', 'Tumor non-proliferating_intratumor_eccentricity', 'Vessel_stromal_eccentricity', 'Vessel_tumorfront_eccentricity', 'Myeloid Monocytes_tumorfront_eccentricity', 'Vessel_tumorfront_celldistance', 'CD4 T cells naive_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance', 'Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.naive', 'Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.M1.macrophages', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.Tumor.non.proliferating', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.Tumor.proliferating', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD8.T.cells']",38
Fold 23,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_stromal_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_intratumor_cellfrequency', 'Vessel_stromal_cellfrequency', 'Vessel_tumorfront_cellfrequency', 'Fibroblasts_intratumor_cellfrequency', 'Fibroblasts_stromal_cellfrequency', 'Fibroblasts_tumorfront_cellfrequency', 'CD4 T cells naive_stromal_cellfrequency', 'CD4 T cells memory_stromal_cellfrequency', 'CD4 T cells regulatory_tumorfront_cellfrequency', 'B cells_intratumor_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid M1 macrophages_stromal_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'Myeloid Granulocytes_stromal_cellfrequency', 'Myeloid Monocytes_stromal_cellfrequency', 'CD4 T cells naive_stromal_CD44', 'Myeloid Granulocytes_stromal_GranzymeB', 'Myeloid Granulocytes_stromal_pERK', 'Myeloid Monocytes_tumorfront_GranzymeB', 'Tumor non-proliferating_intratumor_area', 'Tumor non-proliferating_tumorfront_area', 'CD4 T cells naive_stromal_area', 'CD4 T cells naive_tumorfront_area', 'CD8 T cells_intratumor_area', 'Tumor proliferating_tumorfront_eccentricity', 'Fibroblasts_stromal_eccentricity', 'CD4 T cells memory_stromal_eccentricity', 'Myeloid M2 macrophages_stromal_eccentricity', 'Tumor non-proliferating_tumorfront_celldistance', 'Vessel_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.Tumor.proliferating', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD8.T.cells']",37
Fold 24,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_stromal_cellfrequency', 'Tumor non-proliferating_tumorfront_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_intratumor_cellfrequency', 'Vessel_tumorfront_cellfrequency', 'Fibroblasts_intratumor_cellfrequency', 'Fibroblasts_tumorfront_cellfrequency', 'CD4 T cells naive_stromal_cellfrequency', 'CD4 T cells regulatory_tumorfront_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid M1 macrophages_stromal_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'Myeloid Granulocytes_intratumor_cellfrequency', 'Myeloid Granulocytes_stromal_cellfrequency', 'Myeloid Monocytes_intratumor_cellfrequency', 'Tumor non-proliferating_intratumor_CD44', 'CD4 T cells naive_tumorfront_pS6', 'Tumor non-proliferating_intratumor_area', 'CD4 T cells naive_stromal_area', 'CD4 T cells memory_stromal_area', 'CD8 T cells_intratumor_area', 'Tumor non-proliferating_intratumor_eccentricity', 'Vessel_tumorfront_eccentricity', 'Fibroblasts_stromal_eccentricity', 'CD4 T cells memory_stromal_eccentricity', 'Myeloid M1 macrophages_stromal_eccentricity', 'Myeloid M2 macrophages_stromal_eccentricity', 'Vessel_tumorfront_celldistance', 'B cells_tumorfront_celldistance', 'Myeloid Granulocytes_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance', 'CD4 T cells regulatory_stromal_aggregatedNeighbors.Myeloid.Monocytes', 'Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.M1.macrophages', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD8.T.cells']",36
Fold 25,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_stromal_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_intratumor_cellfrequency', 'Vessel_stromal_cellfrequency', 'Fibroblasts_stromal_cellfrequency', 'CD4 T cells regulatory_tumorfront_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'Myeloid Granulocytes_intratumor_cellfrequency', 'Tumor non-proliferating_intratumor_CD44', 'CD4 T cells naive_tumorfront_pS6', 'Myeloid Granulocytes_stromal_GranzymeB', 'Tumor non-proliferating_intratumor_area', 'CD4 T cells naive_stromal_area', 'CD4 T cells memory_stromal_area', 'CD8 T cells_intratumor_area', 'Tumor non-proliferating_intratumor_eccentricity', 'Tumor proliferating_intratumor_eccentricity', 'Vessel_tumorfront_eccentricity', 'Fibroblasts_stromal_eccentricity', 'CD8 T cells_tumorfront_eccentricity', 'Tumor non-proliferating_tumorfront_celldistance', 'Vessel_tumorfront_celldistance', 'CD4 T cells memory_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance', 'Tumor proliferating_intratumor_aggregatedNeighbors.CD8.T.cells', 'Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.memory', 'Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.M1.macrophages', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD8.T.cells']",30
Fold 26,"['Tumor non-proliferating_intratumor_cellfrequency', 'Tumor non-proliferating_tumorfront_cellfrequency', 'Tumor proliferating_stromal_cellfrequency', 'Tumor proliferating_tumorfront_cellfrequency', 'Vessel_intratumor_cellfrequency', 'Vessel_stromal_cellfrequency', 'Fibroblasts_stromal_cellfrequency', 'CD4 T cells naive_stromal_cellfrequency', 'CD4 T cells regulatory_stromal_cellfrequency', 'CD8 T cells_stromal_cellfrequency', 'Myeloid M1 macrophages_intratumor_cellfrequency', 'Myeloid M1 macrophages_tumorfront_cellfrequency', 'CD4 T cells naive_tumorfront_pS6', 'Myeloid Granulocytes_stromal_Ki67', 'Myeloid DCs_stromal_CD44', 'Myeloid Monocytes_tumorfront_CD36', 'CD4 T cells naive_stromal_area', 'CD8 T cells_intratumor_area', 'Tumor non-proliferating_intratumor_eccentricity', 'Tumor non-proliferating_stromal_eccentricity', 'Vessel_tumorfront_eccentricity', 'Fibroblasts_stromal_eccentricity', 'CD8 T cells_stromal_eccentricity', 'Myeloid M2 macrophages_stromal_eccentricity', 'Myeloid DCs_stromal_eccentricity', 'Vessel_tumorfront_celldistance', 'Myeloid M1 macrophages_tumorfront_celldistance', 'Myeloid Monocytes_tumorfront_celldistance', 'CD4 T cells regulatory_stromal_aggregatedNeighbors.Myeloid.Monocytes', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.Tumor.non.proliferating', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.Tumor.proliferating', 'Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD8.T.cells']",32
