,C'=' 0.048,C'=' 0.576,C'=' 1.104,C'=' 1.633,C'=' 2.161,C'=' 2.689,C'=' 3.217,C'=' 3.745,C'=' 4.274,C'=' 4.802
artificial.1,0.0,0.001,0.001,0.001,0.001,0.003,0.005,0.005,0.007,0.007
artificial.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.3,0.0,0.005,0.008,0.014,0.02,0.021,0.024,0.026,0.031,0.033
artificial.4,0.0,0.106,0.164,0.209,0.251,0.275,0.303,0.327,0.353,0.374
artificial.5,0.0,0.066,0.108,0.137,0.151,0.158,0.176,0.183,0.195,0.211
artificial.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.7,0.0,0.005,0.007,0.011,0.012,0.014,0.02,0.025,0.027,0.037
artificial.8,0.0,0.013,0.021,0.027,0.029,0.032,0.034,0.035,0.037,0.037
artificial.9,0.0,0.029,0.045,0.051,0.057,0.059,0.06,0.065,0.067,0.072
artificial.10,0.0,0.253,0.305,0.34,0.357,0.373,0.388,0.4,0.422,0.441
artificial.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.12,0.0,0.016,0.036,0.052,0.059,0.068,0.078,0.085,0.1,0.109
artificial.13,0.0,0.009,0.012,0.015,0.026,0.029,0.031,0.035,0.04,0.045
artificial.14,0.0,0.159,0.239,0.289,0.332,0.359,0.381,0.413,0.438,0.461
artificial.15,0.0,0.021,0.031,0.033,0.038,0.043,0.047,0.049,0.058,0.061
artificial.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.17,0.0,0.175,0.262,0.318,0.363,0.415,0.45,0.486,0.508,0.543
artificial.18,0.0,0.849,0.89,0.915,0.931,0.944,0.954,0.963,0.967,0.97
artificial.19,0.0,0.847,0.908,0.93,0.94,0.948,0.952,0.956,0.958,0.964
artificial.20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002
artificial.21,0.0,0.001,0.003,0.01,0.017,0.021,0.026,0.027,0.03,0.037
artificial.22,0.0,0.13,0.158,0.17,0.185,0.195,0.209,0.218,0.231,0.238
artificial.23,0.0,0.054,0.103,0.122,0.139,0.16,0.171,0.179,0.192,0.2
artificial.24,0.0,0.105,0.139,0.171,0.19,0.205,0.215,0.226,0.242,0.256
artificial.25,0.0,0.246,0.364,0.428,0.471,0.491,0.53,0.554,0.572,0.583
artificial.26,0.0,0.267,0.368,0.414,0.448,0.481,0.505,0.537,0.556,0.569
artificial.27,0.0,0.0,0.0,0.002,0.003,0.004,0.004,0.005,0.005,0.009
artificial.28,0.0,0.792,0.874,0.912,0.929,0.944,0.952,0.958,0.962,0.966
artificial.29,0.0,0.016,0.021,0.024,0.03,0.031,0.035,0.042,0.045,0.046
artificial.30,0.0,0.001,0.006,0.009,0.015,0.017,0.017,0.017,0.019,0.019
artificial.31,0.0,0.001,0.004,0.004,0.005,0.006,0.006,0.007,0.008,0.009
