,Fold selected features,Fold nb of features
Fold 0,"['CCR2nncMC_S6', 'CD41hiCD61hiPLT_p38', 'CD41hiCD61hiPLT_MAPKAPK2', 'CD62LnAgedNeutrophils_S6', 'intMC_S6', 'mDC_S6', 'MDSC_S6', 'pDC_IkB', 'Th1mem_S6']",9
Fold 1,"['CCR2nncMC_S6', 'CCR2pcMC_S6', 'CD62LnAgedNeutrophils_S6', 'CD62LpImmatureNeutrophils_S6', 'intMC_S6', 'mDC_S6', 'MDSC_S6', 'pDC_IkB', 'Th1mem_S6', 'Th1naive_S6']",10
Fold 2,"['CCR2nncMC_S6', 'CD41hiCD61hiPLT_MAPKAPK2', 'CD62LnAgedNeutrophils_S6', 'intMC_S6', 'mDC_S6', 'MDSC_S6', 'Th1naive_S6']",7
Fold 3,"['CCR2nncMC_S6', 'intMC_S6']",2
Fold 4,"['CCR2nncMC_S6', 'CCR2pcMC_S6', 'CD41hiCD61hiPLT_MAPKAPK2', 'intMC_S6', 'mDC_S6', 'MDSC_S6', 'Th1mem_S6', 'Th1naive_S6']",8
Fold 5,"['CCR2nncMC_S6', 'CCR2pcMC_S6', 'CD41hiCD61hiPLT_MAPKAPK2', 'CD4Trm_STAT6', 'CD62LnAgedNeutrophils_S6', 'CD62LpImmatureNeutrophils_IkB', 'intMC_S6', 'mDC_S6', 'MDSC_S6']",9
Fold 6,"['CCR2nncMC_S6', 'CCR2pcMC_S6', 'CD62LnAgedNeutrophils_S6', 'CD62LpImmatureNeutrophils_S6', 'intMC_S6', 'mDC_S6', 'MDSC_S6', 'Th1mem_S6']",8
Fold 7,"['CCR2nncMC_S6', 'CCR2nncMC_NFkB', 'CD41hiCD61hiPLT_MAPKAPK2', 'intMC_S6', 'mDC_S6', 'MDSC_S6']",6
Fold 8,"['CD62LnAgedNeutrophils_S6', 'CD62LpImmatureNeutrophils_S6', 'intMC_S6', 'mDC_S6', 'mDC_NFkB']",5
Fold 9,"['CCR2nncMC_S6', 'intMC_S6', 'mDC_S6']",3
Fold 10,"['CCR2nncMC_S6', 'intMC_S6', 'mDC_S6', 'MDSC_S6', 'Th1naive_S6']",5
Fold 11,"['CCR2nncMC_S6', 'CCR2nncMC_NFkB', 'CD41hiCD61hiPLT_MAPKAPK2', 'CD62LnAgedNeutrophils_S6', 'CD62LpImmatureNeutrophils_S6', 'CD62LpImmatureNeutrophils_IkB', 'intMC_S6', 'mDC_S6', 'MDSC_S6', 'Th1mem_S6']",10
Fold 12,"['CCR2nncMC_S6', 'CD62LnAgedNeutrophils_S6', 'CD62LpImmatureNeutrophils_IkB', 'intMC_S6', 'mDC_S6', 'MDSC_S6']",6
Fold 13,"['CCR2nncMC_S6', 'CCR2pcMC_S6', 'CD62LnAgedNeutrophils_S6', 'CD62LpImmatureNeutrophils_S6', 'CD62LpImmatureNeutrophils_IkB', 'intMC_S6', 'mDC_S6', 'MDSC_S6']",8
Fold 14,"['CCR2nncMC_S6', 'CCR2pcMC_S6', 'CD41hiCD61hiPLT_MAPKAPK2', 'CD62LnAgedNeutrophils_S6', 'intMC_CREB', 'intMC_S6', 'mDC_S6', 'MDSC_S6']",8
Fold 15,"['CCR2nncMC_NFkB', 'intMC_S6']",2
Fold 16,"['CCR2nncMC_S6', 'CCR2nncMC_NFkB', 'CCR2pcMC_S6', 'CD41hiCD61hiPLT_MAPKAPK2', 'CD61pCD41pPLT_STAT3', 'CD62LnAgedNeutrophils_S6', 'CD62LpImmatureNeutrophils_S6', 'CD62LpImmatureNeutrophils_IkB', 'intMC_S6', 'mDC_S6', 'MDSC_S6', 'Th1mem_S6', 'Th1naive_S6']",13
Fold 17,"['CCR2nncMC_S6', 'intMC_S6', 'mDC_S6']",3
Fold 18,"['CCR2nncMC_S6', 'intMC_S6', 'mDC_S6']",3
Fold 19,"['CCR2nncMC_S6', 'CCR2nncMC_NFkB', 'CD41hiCD61hiPLT_MAPKAPK2', 'CD62LnAgedNeutrophils_S6', 'CD62LpImmatureNeutrophils_S6', 'mDC_S6', 'MDSC_S6', 'Th1mem_S6']",8
