,Fold selected features,Fold nb of features
Fold 0,"['CD41hiCD61hiPLT_MAPKAPK2', 'CD62LpImmatureNeutrophils_Frequency', 'gdTcells_NFkB', 'Th1mem_NFkB', 'Th1naive_STAT5', 'Th1naive_IkB', 'Tregnaive_STAT6']",7
Fold 1,"['CD41hiCD61hiPLT_MAPKAPK2', 'CD62LpImmatureNeutrophils_Frequency', 'gdTcells_NFkB', 'Th1naive_STAT5', 'Th1naive_IkB']",5
Fold 2,"['CD41hiCD61hiPLT_MAPKAPK2', 'gdTcells_NFkB', 'Th1naive_IkB']",3
Fold 3,"['CD41hiCD61hiPLT_MAPKAPK2', 'CD62LpImmatureNeutrophils_Frequency', 'gdTcells_NFkB', 'Th1naive_STAT5', 'Th1naive_IkB']",5
Fold 4,"['CD41hiCD61hiPLT_MAPKAPK2', 'CD62LpImmatureNeutrophils_Frequency', 'gdTcells_NFkB', 'Tregnaive_STAT6']",4
Fold 5,"['CD41hiCD61hiPLT_MAPKAPK2', 'CD62LpImmatureNeutrophils_Frequency', 'CD8Tem_Frequency', 'gdTcells_NFkB']",4
Fold 6,"['CCR2nncMC_S6', 'CD41hiCD61hiPLT_MAPKAPK2', 'CD62LpImmatureNeutrophils_Frequency', 'gdTcells_NFkB', 'Th1naive_IkB', 'Tregnaive_STAT6']",6
Fold 7,"['CD41hiCD61hiPLT_MAPKAPK2', 'CD62LpImmatureNeutrophils_Frequency', 'CD8Tem_Frequency', 'Th1naive_IkB']",4
Fold 8,"['CCR2nncMC_S6', 'CD41hiCD61hiPLT_MAPKAPK2', 'CD62LpImmatureNeutrophils_Frequency', 'gdTcells_NFkB', 'Th1naive_IkB']",5
Fold 9,"['CD41hiCD61hiPLT_MAPKAPK2', 'CD62LpImmatureNeutrophils_Frequency', 'gdTcells_NFkB', 'Th1naive_STAT5', 'Th1naive_IkB']",5
Fold 10,"['CD62LpImmatureNeutrophils_Frequency', 'CD8Tem_Frequency', 'gdTcells_NFkB', 'Th1naive_STAT5', 'Th1naive_IkB', 'Tregnaive_STAT6']",6
Fold 11,"['CD41hiCD61hiPLT_MAPKAPK2', 'gdTcells_NFkB', 'gdTcells_Frequency', 'Th1naive_IkB', 'Th1naive_STAT6']",5
Fold 12,"['CD62LpImmatureNeutrophils_Frequency', 'gdTcells_NFkB', 'Th1naive_IkB']",3
Fold 13,"['CD61pCD41pPLT_S6', 'gdTcells_NFkB', 'Th1naive_IkB']",3
Fold 14,"['CD62LpImmatureNeutrophils_Frequency', 'gdTcells_NFkB', 'gdTcells_Frequency', 'Th1mem_ERK', 'Th1naive_CREB', 'Th1naive_STAT5', 'Tregnaive_STAT6']",7
Fold 15,"['CCR2nncMC_S6', 'CD41hiCD61hiPLT_MAPKAPK2', 'CD56dimCD16pNKcells_NFkB', 'gdTcells_Frequency', 'Th1naive_STAT5', 'Th1naive_IkB', 'Tregnaive_STAT6']",7
Fold 16,"['CD41hiCD61hiPLT_MAPKAPK2', 'CD62LpImmatureNeutrophils_Frequency', 'CD8Tem_Frequency', 'gdTcells_NFkB', 'Th1naive_IkB']",5
Fold 17,"['CD41hiCD61hiPLT_MAPKAPK2', 'CD62LpImmatureNeutrophils_Frequency', 'gdTcells_NFkB', 'Th1naive_IkB']",4
Fold 18,"['CD41hiCD61hiPLT_MAPKAPK2', 'CD62LpImmatureNeutrophils_Frequency', 'gdTcells_NFkB', 'Th1naive_STAT5', 'Th1naive_IkB']",5
Fold 19,"['CCR2nncMC_S6', 'CD41hiCD61hiPLT_MAPKAPK2', 'CD8Trm_Frequency', 'gdTcells_NFkB', 'gdTcells_Frequency', 'pDC_STAT3', 'Th1naive_IkB', 'Tregnaive_STAT6']",8
