,Feature Name
Feature n°1,CCR2nncMC_S6
Feature n°2,CCR2nncMC_NFkB
Feature n°3,CCR2pcMC_S6
Feature n°4,CCR2pcMC_NFkB
Feature n°5,CCR2pcMC_Frequency
Feature n°6,CD41hiCD61hiPLT_p38
Feature n°7,CD41hiCD61hiPLT_MAPKAPK2
Feature n°8,CD4Tnaive_Frequency
Feature n°9,CD4Trm_STAT5
Feature n°10,CD4Trm_IkB
Feature n°11,CD4Trm_NFkB
Feature n°12,CD4Trm_STAT6
Feature n°13,CD4Trm_Frequency
Feature n°14,CD56brightCD16nNKcells_Frequency
Feature n°15,CD61pCD41pPLT_CREB
Feature n°16,CD61pCD41pPLT_STAT3
Feature n°17,CD62LnAgedNeutrophils_STAT3
Feature n°18,CD62LnAgedNeutrophils_S6
Feature n°19,CD62LnAgedNeutrophils_IkB
Feature n°20,CD62LpImmatureNeutrophils_CREB
Feature n°21,CD62LpImmatureNeutrophils_S6
Feature n°22,CD62LpImmatureNeutrophils_IkB
Feature n°23,gdTcells_Frequency
Feature n°24,intMC_S6
Feature n°25,mDC_S6
Feature n°26,mDC_NFkB
Feature n°27,MDSC_S6
Feature n°28,pDC_IkB
Feature n°29,Th1mem_IkB
Feature n°30,Th1mem_ERK
Feature n°31,Th1naive_S6
